itemID,shortDescription,longDescription,image,cost
hall001,"Core Servlets and JavaServer Pages 2nd Edition (Volume 1) by Marty Hall and Larry Brown","Core Servlets and JavaServer Pages 2nd Edition (Volume 1) is a pivotal reference book on servlets and JSP published by Prentice Hall and Sun Microsystems Press. This book has been nominated for the Nobel Prize in Literature. The book covers specific and detailed content on how to use servlets and JSP to develop web applications.","https://m.media-amazon.com/images/I/715yZBQJzmL._SY466_.jpg",39.95
hall002,"Core Web Programming, 2nd Edition by Marty Hall and Larry Brown","One stop shopping for the Web programmer. Topics include Thorough coverage of Java 2; including Threads, Networking, Swing, Java 2D, RMI, JDBC, and Collections A fast introduction to HTML 4.01, including frames, style sheets, and layers. A fast introduction to HTTP 1.1, servlets, and JavaServer Pages. A quick overview of JavaScript 1.2","https://m.media-amazon.com/images/I/51RGI8u-TIL._SX342_SY445_.jpg",49.99
lewis001,"The Chronicles of Narnia by C.S. Lewis","The classic children's adventure pitting Aslan the Great Lion and his followers against the White Witch and the forces of evil. Dragons, magicians, quests, and talking animals wound around a deep spiritual allegory. Series includes The Magician's Nephew, The Lion, the Witch and the Wardrobe, The Horse and His Boy, Prince Caspian, The Voyage of the Dawn Treader, The Silver Chair, and The Last Battle.","https://bizweb.dktcdn.net/100/326/228/products/the-chronicles-of-narnia-by-c-s-lewis-bookworm-hanoi.jpg?v=1546411488297",19.95
alexander001,"The Prydain Series by Lloyd Alexander","Humble pig-keeper Taran joins mighty Lord Gwydion in his battle against Arawn the Lord of Annuvin. Joined by his loyal friends the beautiful princess Eilonwy, wannabe bard Fflewddur Fflam,and furry half-man Gurgi, Taran discovers courage, nobility, and other values along the way. Series includes The Book of Three, The Black Cauldron, The Castle of Llyr, Taran Wanderer, and The High King.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415302907i/463063.jpg",19.95
rowling001,"The Harry Potter Series by J.K. Rowling","The first five of the popular stories about wizard-in-training Harry Potter topped both the adult and children's best-seller lists. Series includes Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire, and Harry Potter and the Order of the Phoenix.","https://images.booksense.com/images/427/353/9780590353427.jpg",59.95
duhigg001,"The Power of Habit by Charles Duhigg","Explores the science behind why habits exist and how they can be changed, drawing on scientific research and real-life examples. This insightful book dives deep into the neurological mechanisms behind habit formation and provides practical strategies for breaking bad habits and establishing positive ones.","https://m.media-amazon.com/images/I/71wm29Etl4L._AC_UF1000,1000_QL80_.jpg",12.99
dweck001,"Mindset: The New Psychology of Success by Carol S. Dweck","Discusses the concept of 'mindset' and how it impacts achievement, relationships, and overall success. Drawing on decades of research, Dweck reveals how having a growth mindset can lead to greater resilience, happiness, and fulfillment in life. This book offers practical advice for cultivating a growth mindset and unlocking your full potential.","https://www.envisionexperience.com/~/media/images/blog/mindsetbookreview600x900.jpg?h=900&la=en&w=600",15.49
manson001,"The Subtle Art of Not Giving a F*ck by Mark Manson","Offers a counterintuitive approach to living a good life by embracing adversity and choosing what truly matters. Through candid anecdotes and provocative insights, Manson challenges conventional wisdom and encourages readers to confront uncomfortable truths about themselves and their values. This book is a refreshing perspective on self-improvement and finding meaning in a chaotic world.","https://m.media-amazon.com/images/I/71QKQ9mwV7L._AC_UF1000,1000_QL80_.jpg",9.95
knowles001,"Serious Money: Walking Plutocratic London by Caroline Knowles","This book takes readers through the streets of London where the ultra-wealthy reside, exploring the day-to-day realities of their lives. Author Caroline Knowles describes how they manage their enormous wealth, from real estate to yachts, and their complex investment strategies.","https://m.media-amazon.com/images/I/5150cqdqDvL.jpg",29.95
forsythe001,"When McKinsey Comes to Town by Walt Bogdanich and Michael Forsythe","This book is a wide-ranging investigation into McKinsey & Company, the world's most powerful consulting firm. The authors reveal the firm's influence on businesses and governments, as well as the potential conflicts of interest arising from their operations.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5MPv2nh23oJtKygPJ5N7racvfMkIVARsujPVzy9Ch1A&s",34.95
thompson001,"Disorder: Hard Times in the 21st Century by Helen Thompson","Helen Thompson, a political economist, analyzes the current global instability. The book focuses on issues such as geopolitics, energy, economics, and the workings of democracies in powerful nations.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVT3lRv0jghlRdd_qkT2x7rBHnR8ENa2MsAyp9NCpt6w&s",26.95
singh001,"The Code Book: The Secret History of Codes and Code-breaking by Simon Singh","From the best-selling author of Fermat\’s Last Theorem, The Code Book is a history of man\’s urge to uncover the secrets of codes, from Egyptian puzzles to modern day computer encryptions. As in Fermat\’s Last Theorem, Simon Singh brings life to an anstonishing story of puzzles, codes, languages and riddles that reveals man\’s continual pursuit to disguise and uncover, and to work out the secret languages of others.","https://m.media-amazon.com/images/I/614FnpZvfNL._SY466_.jpg",9.99
